Mostly Cloudy,2.0,0.0
Mostly Cloudy,2.5,0.0
Overcast,1.0,0.051622103386809275
Mostly Cloudy,7.0,0.10054280372604533
Mostly Cloudy,4.0,0.11287037037037036
Mostly Cloudy,5.0,0.11683372183372183
Mostly Cloudy,9.0,0.13299332694255414
Overcast,10.0,0.13587107250409555
Mostly Cloudy,8.0,0.1425081932382123
Overcast,1.8,0.14404810885360086
Overcast,1.5,0.15079365079365079
Mostly Cloudy,6.0,0.15869158878504672
Overcast,1.2,0.22772501130710088
Rain,1.0,0.0
Rain,0.5,0.07058823529411765
Rain,2.0,0.08124488124488125
Partly Cloudy,8.0,0.09593210961124675
Rain,1.2,0.10640000000000001
Rain,2.5,0.10940861376101652
Overcast,8.0,0.11220312409777944
Partly Cloudy,7.0,0.11654025797017525
Partly Cloudy,4.0,0.117125
Overcast,4.0,0.12808269401141992
Overcast,5.0,0.12860127619288883
Partly Cloudy,10.0,0.13186990189403344
Overcast,9.0,0.1319236125778807
Partly Cloudy,9.0,0.13487197197128362
Overcast,2.5,0.1391942807657039
Rain,0.8,0.14035087719298245
Overcast,7.0,0.14217703883648397
Overcast,6.0,0.14393983559787973
Overcast,3.0,0.15027113023932423
Rain,1.8,0.1532880509468745
Rain,1.5,0.15726949254449257
Overcast,2.0,0.16566588957378434
Partly Cloudy,5.0,0.17099089103667417
Scattered Clouds,5.0,0.0
Snow,0.2,0.04375
Rain,5.0,0.06666666666666667
Scattered Clouds,9.0,0.112297927502956
Scattered Clouds,8.0,0.12761969649364485
Rain,4.0,0.13644110275689222
Rain,3.0,0.1465530303030303
Scattered Clouds,10.0,0.14764653036434294
Scattered Clouds,7.0,0.14826275054200527
Snow,0.5,0.16622444222444224
Scattered Clouds,6.0,0.2
Clear,3.0,0.0
Clear,4.0,0.0
Clear,6.0,0.0
Haze,1.8,0.0
Haze,8.0,0.0
Haze,9.0,0.0
Light Snow,6.0,0.0
Heavy Rain,1.8,0.05166666666666667
Heavy Rain,0.8,0.053571428571428575
Heavy Rain,1.0,0.0675
Light Snow,2.0,0.06976190476190476
Light Snow,1.8,0.07767195767195767
Heavy Rain,1.5,0.08273809523809524
Haze,4.0,0.08878015968068464
Light Rain,2.0,0.09461482962754272
Light Rain,1.5,0.10327485380116959
Light Snow,2.5,0.10654761904761906
Light Rain,5.0,0.11249667697065889
Light Rain,8.0,0.11398630305705217
Haze,5.0,0.11534830081826047
Haze,2.5,0.11963768115942028
Light Snow,0.8,0.12139326417677185
Clear,5.0,0.12166666666666666
Light Rain,6.0,0.12532977328957895
Clear,8.0,0.13118793371767276
Light Rain,4.0,0.13536981178106736
Light Rain,9.0,0.1362743817040188
Haze,6.0,0.13789878643507206
Mostly Cloudy,10.0,0.13842961887238991
Clear,9.0,0.13875954702291418
Clear,7.0,0.14503570052957498
Light Snow,1.0,0.14580952380952383
Light Rain,7.0,0.1479958642562411
Light Rain,3.0,0.1551974525280936
Light Rain,2.5,0.15665021002609034
Light Rain,10.0,0.15990496163335297
Light Rain,1.8,0.16121118231242956
Haze,2.0,0.16568149210903874
Light Snow,1.2,0.1689855072463768
Light Rain,1.2,0.17882783882783881
Heavy Rain,1.2,0.18248677248677247
Light Snow,4.0,0.19343557422969188
Haze,3.0,0.2007475466744129
Heavy Rain,0.2,0.21766483516483515
Heavy Rain,3.0,0.22666666666666668
Light Snow,1.5,0.24285714285714285
Heavy Rain,0.5,0.25874871794871795
Light Freezing Rain,3.0,0.26666666666666666
Light Rain,1.0,0.26941176470588235
Haze,10.0,0.385157148536691
Clear,10.0,0.1383724381719847
